time,temperature_2m_mean (°C)
10/21/2013,18
10/22/2013,19.3
10/23/2013,19.4
10/24/2013,16.9
10/25/2013,15.8
10/26/2013,15.6
10/27/2013,16.8
10/28/2013,18.2
10/29/2013,18.9
10/30/2013,19.8
10/31/2013,17.8
11/1/2013,15.6
11/2/2013,15.5
11/3/2013,16.5
11/4/2013,16.8
11/5/2013,17.2
11/6/2013,15.4
11/7/2013,15
11/8/2013,16.2
11/9/2013,17
11/10/2013,17
11/11/2013,16.4
11/12/2013,16.4
11/13/2013,15.2
11/14/2013,13.4
11/15/2013,13.1
11/16/2013,12.7
11/17/2013,11.6
11/18/2013,10.8
11/19/2013,12.3
11/20/2013,15.2
11/21/2013,15.1
11/22/2013,14
11/23/2013,13.5
11/24/2013,13.3
11/25/2013,11.7
11/26/2013,12
11/27/2013,10.8
11/28/2013,9.6
11/29/2013,10.9
11/30/2013,10.4
12/1/2013,13.4
12/2/2013,13.1
12/3/2013,8
12/4/2013,5.6
12/5/2013,8
12/6/2013,8.6
12/7/2013,8
12/8/2013,7.3
12/9/2013,8
12/10/2013,7.8
12/11/2013,4.1
12/12/2013,5.5
12/13/2013,6.5
12/14/2013,8.8
12/15/2013,8.8
12/16/2013,7.9
12/17/2013,7.1
12/18/2013,6.3
12/19/2013,7.2
12/20/2013,7.5
12/21/2013,7.2
12/22/2013,6.7
12/23/2013,6.8
12/24/2013,7.8
12/25/2013,9.6
12/26/2013,10.4
12/27/2013,10.4
12/28/2013,9.5
12/29/2013,9.9
12/30/2013,9.4
12/31/2013,7.2
1/1/2014,7.2
1/2/2014,8.7
1/3/2014,9.2
1/4/2014,8.7
1/5/2014,8.7
1/6/2014,9.7
1/7/2014,9.2
1/8/2014,8.8
1/9/2014,10
1/10/2014,10.3
1/11/2014,9.7
1/12/2014,10.2
1/13/2014,10.2
1/14/2014,10
1/15/2014,10.5
1/16/2014,10.8
1/17/2014,9.6
1/18/2014,9.2
1/19/2014,11.6
1/20/2014,12.4
1/21/2014,11.4
1/22/2014,10.6
1/23/2014,9.6
1/24/2014,8.6
1/25/2014,9.8
1/26/2014,8.2
1/27/2014,6.9
1/28/2014,7.9
1/29/2014,8.8
1/30/2014,8.5
1/31/2014,8.8
2/1/2014,6
2/2/2014,6.3
2/3/2014,6.4
2/4/2014,6.6
2/5/2014,7.4
2/6/2014,8.9
2/7/2014,9.2
2/8/2014,9.9
2/9/2014,11.2
2/10/2014,12.2
2/11/2014,11.8
2/12/2014,11.7
2/13/2014,9
2/14/2014,9
2/15/2014,9.1
2/16/2014,11.4
2/17/2014,12.5
2/18/2014,12
2/19/2014,12.5
2/20/2014,11.5
2/21/2014,11.6
2/22/2014,10.9
2/23/2014,11.1
2/24/2014,8.7
2/25/2014,8.8
2/26/2014,9.5
2/27/2014,9.7
2/28/2014,10
3/1/2014,9.7
3/2/2014,10.4
3/3/2014,9.8
3/4/2014,10.2
3/5/2014,9.3
3/6/2014,9.2
3/7/2014,9.7
3/8/2014,8.8
3/9/2014,7.9
3/10/2014,6.8
3/11/2014,7
3/12/2014,8.3
3/13/2014,9.8
3/14/2014,11.1
3/15/2014,11
3/16/2014,11.3
3/17/2014,13
3/18/2014,14
3/19/2014,14
3/20/2014,11.9
3/21/2014,11.7
3/22/2014,12.5
3/23/2014,12.4
3/24/2014,13.6
3/25/2014,11.5
3/26/2014,12.3
3/27/2014,13.4
3/28/2014,12.7
3/29/2014,11.7
3/30/2014,10.8
3/31/2014,11.1
4/1/2014,13.8
4/2/2014,14.6
4/3/2014,13.8
4/4/2014,14.7
4/5/2014,15.3
4/6/2014,13.6
4/7/2014,12.1
4/8/2014,13.3
4/9/2014,14.5
4/10/2014,13.6
4/11/2014,12.5
4/12/2014,12.1
4/13/2014,12.8
4/14/2014,12.8
4/15/2014,15
4/16/2014,13.8
4/17/2014,11.3
4/18/2014,10.1
4/19/2014,11.5
4/20/2014,14.8
4/21/2014,15
4/22/2014,17.8
4/23/2014,17.9
4/24/2014,17.1
4/25/2014,17.6
4/26/2014,15.9
4/27/2014,14.1
4/28/2014,14.3
4/29/2014,15.5
4/30/2014,14.5
5/1/2014,15.3
5/2/2014,16.1
5/3/2014,16
5/4/2014,16.6
5/5/2014,15.5
5/6/2014,14.9
5/7/2014,14.7
5/8/2014,15.6
5/9/2014,16.5
5/10/2014,17.5
5/11/2014,19.2
5/12/2014,19.5
5/13/2014,21.3
5/14/2014,19.7
5/15/2014,15.8
5/16/2014,15.1
5/17/2014,15.5
5/18/2014,16.5
5/19/2014,16.7
5/20/2014,18.3
5/21/2014,20
5/22/2014,21
5/23/2014,21.6
5/24/2014,22.1
5/25/2014,22.4
5/26/2014,22.6
5/27/2014,23.1
5/28/2014,23.1
5/29/2014,21.3
5/30/2014,19.3
5/31/2014,19.8
6/1/2014,19.3
6/2/2014,19
6/3/2014,17.1
6/4/2014,17.6
6/5/2014,20.3
6/6/2014,21.6
6/7/2014,23.1
6/8/2014,21.7
6/9/2014,21
6/10/2014,22.3
6/11/2014,23.5
6/12/2014,23.8
6/13/2014,24.6
6/14/2014,25.5
6/15/2014,24
6/16/2014,24.1
6/17/2014,25.5
6/18/2014,27.2
6/19/2014,23.9
6/20/2014,22.1
6/21/2014,22.9
6/22/2014,23.1
6/23/2014,24.6
6/24/2014,26.8
6/25/2014,29.5
6/26/2014,31.1
6/27/2014,29.6
6/28/2014,25.4
6/29/2014,25
6/30/2014,26.6
7/1/2014,27.1
7/2/2014,26.7
7/3/2014,27.4
7/4/2014,25.3
7/5/2014,24.3
7/6/2014,26
7/7/2014,27.3
7/8/2014,29.2
7/9/2014,28.5
7/10/2014,28
7/11/2014,26.3
7/12/2014,25.1
7/13/2014,25.4
7/14/2014,25.9
7/15/2014,24.4
7/16/2014,23.6
7/17/2014,25.3
7/18/2014,26.1
7/19/2014,25.4
7/20/2014,25.5
7/21/2014,26.8
7/22/2014,28.3
7/23/2014,26.1
7/24/2014,25.5
7/25/2014,26.8
7/26/2014,27.2
7/27/2014,28.7
7/28/2014,28.6
7/29/2014,28.1
7/30/2014,29.1
7/31/2014,29
8/1/2014,26.6
8/2/2014,26.1
8/3/2014,28.2
8/4/2014,29.1
8/5/2014,28.5
8/6/2014,26.6
8/7/2014,24.2
8/8/2014,25.5
8/9/2014,27.2
8/10/2014,28
8/11/2014,28.1
8/12/2014,29
8/13/2014,29.4
8/14/2014,29.2
8/15/2014,30.1
8/16/2014,28.8
8/17/2014,27.2
8/18/2014,24.6
8/19/2014,25.1
8/20/2014,27.1
8/21/2014,28.8
8/22/2014,29.7
8/23/2014,29.6
8/24/2014,30.4
8/25/2014,27.8
8/26/2014,26.9
8/27/2014,27.8
8/28/2014,28.7
8/29/2014,25.9
8/30/2014,24.3
8/31/2014,24.7
9/1/2014,25.2
9/2/2014,25.1
9/3/2014,24.4
9/4/2014,24.5
9/5/2014,24.2
9/6/2014,24
9/7/2014,23.5
9/8/2014,23.3
9/9/2014,22.5
9/10/2014,22.4
9/11/2014,24
9/12/2014,24.3
9/13/2014,24.9
9/14/2014,23.6
9/15/2014,22.5
9/16/2014,22.3
9/17/2014,21
9/18/2014,20.3
9/19/2014,20.8
9/20/2014,22.4
9/21/2014,24.7
9/22/2014,25.8
9/23/2014,25.7
9/24/2014,20.3
9/25/2014,22.7
9/26/2014,22.4
9/27/2014,16.6
9/28/2014,17.2
9/29/2014,17
9/30/2014,17.9
10/1/2014,19.2
10/2/2014,18.8
10/3/2014,17.8
10/4/2014,17.5
10/5/2014,17.3
10/6/2014,18.3
10/7/2014,19.4
10/8/2014,18.5
10/9/2014,18.2
10/10/2014,17.4
10/11/2014,17.5
10/12/2014,18.3
10/13/2014,19.1
10/14/2014,19.8
10/15/2014,21.3
10/16/2014,23.5
10/17/2014,22
10/18/2014,21.5
10/19/2014,17.7
10/20/2014,16.2
10/21/2014,18.5
10/22/2014,18.1
10/23/2014,16.6
10/24/2014,13.6
10/25/2014,13.6
10/26/2014,12.6
10/27/2014,12.5
10/28/2014,12.2
10/29/2014,13.2
10/30/2014,13.5
10/31/2014,12.7
11/1/2014,11.9
11/2/2014,12.3
11/3/2014,12.3
11/4/2014,13.5
11/5/2014,15
11/6/2014,15.6
11/7/2014,15.7
11/8/2014,14.8
11/9/2014,14.2
11/10/2014,14.9
11/11/2014,14.7
11/12/2014,14.4
11/13/2014,15.5
11/14/2014,13.6
11/15/2014,13.6
11/16/2014,13.3
11/17/2014,15.9
11/18/2014,15.1
11/19/2014,16.2
11/20/2014,14
11/21/2014,12.5
11/22/2014,11.7
11/23/2014,10
11/24/2014,9.9
11/25/2014,8.8
11/26/2014,7.9
11/27/2014,9.6
11/28/2014,12.2
11/29/2014,14.5
11/30/2014,14.9
12/1/2014,13.4
12/2/2014,14.7
12/3/2014,14.5
12/4/2014,14.1
12/5/2014,13.3
12/6/2014,13.9
12/7/2014,12.3
12/8/2014,11.2
12/9/2014,11.4
12/10/2014,10.5
12/11/2014,11.3
12/12/2014,10.9
12/13/2014,10.8
12/14/2014,10.2
12/15/2014,10
12/16/2014,11.1
12/17/2014,11.6
12/18/2014,9.8
12/19/2014,9.5
12/20/2014,9.7
12/21/2014,9.7
12/22/2014,8.3
12/23/2014,9.7
12/24/2014,11.8
12/25/2014,10.4
12/26/2014,9.8
12/27/2014,9
12/28/2014,8.4
12/29/2014,11
12/30/2014,3.6
12/31/2014,1.9
1/1/2015,2.3
1/2/2015,2.7
1/3/2015,5.3
1/4/2015,7.6
1/5/2015,4
1/6/2015,2.2
1/7/2015,1.6
1/8/2015,2.2
1/9/2015,4.7
1/10/2015,6.5
1/11/2015,9.1
1/12/2015,7.9
1/13/2015,5.8
1/14/2015,8
1/15/2015,7.6
1/16/2015,7.9
1/17/2015,9.1
1/18/2015,9.3
1/19/2015,10.7
1/20/2015,10.3
1/21/2015,11.8
1/22/2015,9.6
1/23/2015,11.1
1/24/2015,8.6
1/25/2015,9.4
1/26/2015,8.8
1/27/2015,7.2
1/28/2015,7
1/29/2015,8.1
1/30/2015,8.3
1/31/2015,12.8
2/1/2015,14.7
2/2/2015,9.3
2/3/2015,8.5
2/4/2015,8.5
2/5/2015,11
2/6/2015,10.6
2/7/2015,9.8
2/8/2015,7.2
2/9/2015,4.6
2/10/2015,2
2/11/2015,1.9
2/12/2015,2.8
2/13/2015,4.9
2/14/2015,5.4
2/15/2015,5.6
2/16/2015,6.6
2/17/2015,4.2
2/18/2015,1.2
2/19/2015,2.9
2/20/2015,7.1
2/21/2015,8.9
2/22/2015,9.1
2/23/2015,10.1
2/24/2015,8.6
2/25/2015,9.3
2/26/2015,8.4
2/27/2015,8.7
2/28/2015,9.5
3/1/2015,8.9
3/2/2015,9.3
3/3/2015,12.5
3/4/2015,10.4
3/5/2015,11.1
3/6/2015,12.9
3/7/2015,7.9
3/8/2015,6.6
3/9/2015,7.1
3/10/2015,7.9
3/11/2015,7.9
3/12/2015,8.4
3/13/2015,7.1
3/14/2015,8.4
3/15/2015,10
3/16/2015,8.5
3/17/2015,8.3
3/18/2015,7.4
3/19/2015,7.4
3/20/2015,7.1
3/21/2015,7.1
3/22/2015,9.4
3/23/2015,11.2
3/24/2015,11.4
3/25/2015,9.8
3/26/2015,11.8
3/27/2015,13.2
3/28/2015,11.6
3/29/2015,11
3/30/2015,11.6
3/31/2015,12.7
4/1/2015,13.3
4/2/2015,11.5
4/3/2015,12.9
4/4/2015,10
4/5/2015,11.9
