metric,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
euclidean,halkididki,arkadia corinthos keratea kineta rethymno varibobi  ,messinia,larissa trikala,mati,
dtw,rethymno,arkadia mati messinia,"corinthos  
keratea    
kineta     
varibobi",halkidiki,larissa trikala,
