input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
tanh,linear,15,0.2,11.586346626281738,2.9990663528442383,11.707221031188965,3.115919589996338,2
tanh,tanh,30,0.2,14.9942626953125,3.5189034938812256,14.30471134185791,3.572272777557373,2
linear,tanh,30,0.2,15.899168968200684,3.594791412353516,15.887669563293455,3.7264773845672607,2
tanh,relu,15,0.2,16.461807250976562,3.7492787837982178,16.904926300048828,3.908500194549561,2
relu,linear,30,0.2,16.534957885742188,3.752548933029175,16.970224380493164,3.9365274906158447,2
