input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
linear,linear,15,0.2,1.6068035364151,0.9632588028907776,1.629280686378479,0.9693179726600648,1
relu,linear,15,0.2,1.6468440294265747,0.987162172794342,1.6367733478546145,0.9745644330978394,1
linear,linear,30,0.2,1.460250973701477,0.9068846702575684,1.6753913164138794,0.9735435843467712,1
linear,relu,15,0.2,1.6863224506378174,1.0058139562606812,1.6877198219299316,0.9990755915641784,1
linear,relu,30,0.2,1.530611515045166,0.9299787282943726,1.6989179849624634,0.9758444428443908,1
