input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
linear,linear,30,0.2,14.611042022705078,3.4867849349975586,15.005279541015623,3.611624956130981,2
relu,tanh,15,0.2,14.466683387756348,3.422080039978028,16.67060661315918,3.74999737739563,2
linear,relu,15,0.2,16.316556930541992,3.719696283340454,18.68367576599121,4.080733299255371,2
linear,tanh,30,0.2,17.743383407592773,3.8384296894073486,18.841611862182617,4.063033103942871,2
linear,relu,30,0.2,16.908018112182617,3.7491214275360103,18.981225967407227,4.098650932312012,2
