input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
relu,tanh,30,0.2,9.53090000152588,2.742720603942871,9.652790069580078,2.826500654220581,2
linear,linear,15,0.2,10.520626068115234,2.814577579498291,11.851890563964844,3.068073272705078,2
relu,linear,30,0.2,13.825289726257324,3.247713327407837,14.076942443847656,3.382177352905273,2
tanh,tanh,30,0.2,12.792569160461426,3.084932804107666,14.149965286254885,3.3973963260650635,2
relu,relu,15,0.2,13.466730117797852,3.208072662353516,15.495086669921877,3.550323963165283,2
