input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
relu,tanh,30,0.2,1.6448956727981567,0.9678266644477844,1.6855932474136353,1.0013591051101685,1
linear,linear,15,0.2,1.7479805946350098,1.019741415977478,1.6867520809173584,0.9986339211463928,1
relu,linear,15,0.5,1.8591620922088623,1.0600898265838623,1.6986446380615234,1.015641689300537,1
relu,relu,15,0.2,1.6881048679351809,0.9796295166015624,1.708446979522705,0.9979711174964904,1
relu,relu,30,0.5,1.7402042150497437,1.0049128532409668,1.7160391807556152,1.0031133890151978,1
