,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
19,linear,relu,30,0.2,1.555660367012024,0.9752098917961121,1.3380141258239746,0.9213913083076477,1
20,tanh,relu,30,0.2,1.907577395439148,1.0441313982009888,1.921594262123108,1.0575274229049683,1
21,relu,linear,30,0.2,1.4989265203475952,0.9395213723182678,1.1537824869155884,0.8282244801521301,1
22,linear,linear,30,0.2,1.7731060981750488,1.0736823081970215,1.446236252784729,0.9684246182441711,1
23,tanh,linear,30,0.2,2.8372766971588135,1.4163442850112915,2.5228734016418457,1.3370522260665894,1
24,relu,tanh,30,0.2,1.4660388231277466,0.9106126427650452,1.2304188013076782,0.8127225637435913,1
25,linear,tanh,30,0.2,1.8021448850631714,0.9971924424171448,1.3925371170043945,0.8793521523475647,1
26,tanh,tanh,30,0.2,1.502854585647583,0.9283046722412109,1.2071102857589722,0.7959033250808716,1
27,relu,relu,30,0.5,2.076676845550537,1.1379222869873047,1.630851149559021,1.0009316205978394,1
28,linear,relu,30,0.5,2.287536382675171,1.2487890720367432,2.0249855518341064,1.175469994544983,1
29,tanh,relu,30,0.5,3.3302321434020996,1.5559049844741821,3.7989919185638428,1.7078092098236084,1
30,relu,linear,30,0.5,1.556203007698059,0.9163774847984314,1.3192154169082642,0.8334648013114929,1
31,linear,linear,30,0.5,1.5156927108764648,0.9281883835792542,1.1707416772842407,0.8155429363250732,1
32,tanh,linear,30,0.5,2.0356338024139404,1.1394867897033691,2.136187791824341,1.201695442199707,1
33,relu,tanh,30,0.5,2.5915634632110596,1.2448004484176636,2.8918709754943848,1.3528486490249634,1
34,linear,tanh,30,0.5,1.8115898370742798,1.0037360191345215,1.5895256996154785,0.9324088096618652,1
35,tanh,tanh,30,0.5,1.6824713945388794,0.994341254234314,1.3322720527648926,0.8580822348594666,1
36,relu,relu,15,0.2,18.609968185424805,3.922631025314331,21.64921760559082,4.35869836807251,2
37,linear,relu,15,0.2,16.316556930541992,3.719696283340454,18.68367576599121,4.080733299255371,2
38,tanh,relu,15,0.2,20.865402221679688,4.202230453491211,24.55293083190918,4.665625095367432,2
39,relu,linear,15,0.2,18.461069107055664,3.952296495437622,21.135221481323242,4.337569236755371,2
40,linear,linear,15,0.2,17.616077423095703,3.8364450931549072,20.151132583618164,4.203409194946289,2
41,tanh,linear,15,0.2,19.720767974853516,4.100772857666016,22.978975296020508,4.522054195404053,2
42,relu,tanh,15,0.2,14.466683387756348,3.4220800399780273,16.67060661315918,3.74999737739563,2
43,linear,tanh,15,0.2,17.786272048950195,3.8514344692230225,20.652246475219727,4.246480941772461,2
44,tanh,tanh,15,0.2,16.735702514648438,3.7070257663726807,19.64922332763672,4.135073184967041,2
45,relu,relu,15,0.5,98.34268951416016,9.28784465789795,118.51920318603516,10.47233772277832,2
46,linear,relu,15,0.5,98.63887786865234,9.262578964233398,118.91393280029297,10.457695960998535,2
47,tanh,relu,15,0.5,92.80961608886719,8.983291625976562,113.02562713623047,10.178115844726562,2
48,relu,linear,15,0.5,99.3180160522461,9.30683708190918,120.21127319335938,10.531010627746582,2
49,linear,linear,15,0.5,96.18519592285156,9.166781425476074,115.69985961914062,10.326496124267578,2
50,tanh,linear,15,0.5,93.37866973876953,9.045248985290527,112.78175354003906,10.184184074401855,2
51,relu,tanh,15,0.5,100.43342590332031,9.381427764892578,121.56714630126953,10.595475196838379,2
52,linear,tanh,15,0.5,93.75794982910156,8.992094993591309,114.24091339111328,10.216362953186035,2
53,tanh,tanh,15,0.5,104.24987030029297,9.60415267944336,125.39479064941406,10.794231414794922,2
54,relu,relu,30,0.2,21.370616912841797,4.24933385848999,23.958913803100586,4.641506195068359,2
55,linear,relu,30,0.2,16.908018112182617,3.7491214275360107,18.981225967407227,4.098650932312012,2
56,tanh,relu,30,0.2,24.764217376708984,4.641064643859863,27.568912506103516,5.009507179260254,2
57,relu,linear,30,0.2,21.352689743041992,4.264536380767822,23.495256423950195,4.601263523101807,2
58,linear,linear,30,0.2,14.611042022705078,3.4867849349975586,15.005279541015625,3.6116249561309814,2
59,tanh,linear,30,0.2,19.70951271057129,4.106224536895752,22.27016258239746,4.484342098236084,2
60,relu,tanh,30,0.2,390.7724304199219,18.566823959350586,442.5814208984375,20.315568923950195,2
61,linear,tanh,30,0.2,17.743383407592773,3.8384296894073486,18.841611862182617,4.063033103942871,2
62,tanh,tanh,30,0.2,20.03041648864746,4.092349052429199,22.75492286682129,4.515722274780273,2
63,relu,relu,30,0.5,390.7724304199219,18.566823959350586,442.5814208984375,20.315568923950195,2
64,linear,relu,30,0.5,102.09973907470703,9.447381019592285,113.1735610961914,10.231191635131836,2
65,tanh,relu,30,0.5,107.4636001586914,9.655984878540039,121.54743957519531,10.577136039733887,2
66,relu,linear,30,0.5,93.17870330810547,8.99365520477295,104.3187026977539,9.811785697937012,2
67,linear,linear,30,0.5,390.7724304199219,18.566823959350586,442.5814208984375,20.315568923950195,2
68,tanh,linear,30,0.5,390.7724304199219,18.566823959350586,442.5814208984375,20.315568923950195,2
69,relu,tanh,30,0.5,98.58576965332031,9.276097297668457,110.97667694091797,10.126730918884277,2
70,linear,tanh,30,0.5,98.27530670166016,9.266509056091309,110.67919921875,10.135031700134277,2
71,tanh,tanh,30,0.5,102.61900329589844,9.475083351135254,115.45307159423828,10.337298393249512,2
