,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
0,relu,relu,15,0.2,1.5880855321884155,0.98843914270401,1.358618140220642,0.9338579177856445,1
1,linear,relu,15,0.2,1.465264081954956,0.8957139253616333,1.3981273174285889,0.866915225982666,1
2,tanh,relu,15,0.2,1.8853704929351807,1.0936737060546875,1.804909110069275,1.0895425081253052,1
3,relu,linear,15,0.2,1.4709042310714722,0.8883482813835144,1.4019423723220825,0.8702383637428284,1
4,linear,linear,15,0.2,1.6201139688491821,1.0059069395065308,1.3327580690383911,0.9144338369369507,1
5,tanh,linear,15,0.2,1.8083997964859009,1.0100864171981812,1.9026968479156494,1.0419164896011353,1
6,relu,tanh,15,0.2,2.380110025405884,1.2769956588745117,2.2492547035217285,1.2560057640075684,1
7,linear,tanh,15,0.2,1.492745041847229,0.9155349135398865,1.366353154182434,0.8535464406013489,1
8,tanh,tanh,15,0.2,1.5176117420196533,0.9451057314872742,1.4153622388839722,0.926338791847229,1
9,relu,relu,15,0.5,1.7065826654434204,1.025449275970459,1.4461910724639893,0.959088146686554,1
10,linear,relu,15,0.5,4.141051769256592,1.765607237815857,4.345118045806885,1.80699622631073,1
11,tanh,relu,15,0.5,5.438564777374268,1.98408842086792,6.760082721710205,2.23138689994812,1
12,relu,linear,15,0.5,1.8503224849700928,1.0955482721328735,1.5896499156951904,1.0340163707733154,1
13,linear,linear,15,0.5,1.4318944215774536,0.8891229629516602,1.231864333152771,0.8162404894828796,1
14,tanh,linear,15,0.5,2.38667368888855,1.2678154706954956,2.443174123764038,1.2798221111297607,1
15,relu,tanh,15,0.5,2.0627858638763428,1.1661186218261719,1.754118800163269,1.0794925689697266,1
16,linear,tanh,15,0.5,1.5859776735305786,0.9475477933883667,1.5502943992614746,0.941946804523468,1
17,tanh,tanh,15,0.5,1.9340780973434448,1.0467534065246582,2.02497935295105,1.092267394065857,1
18,relu,relu,30,0.2,1.996246337890625,1.1517655849456787,1.7115951776504517,1.0615724325180054,1
