input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
relu,linear,30,0.2,1.4989265203475952,0.9395213723182678,1.1537824869155884,0.8282244801521301,1
linear,linear,30,0.5,1.5156927108764648,0.9281883835792542,1.1707416772842407,0.8155429363250732,1
tanh,tanh,30,0.2,1.502854585647583,0.9283046722412108,1.2071102857589722,0.7959033250808716,1
relu,tanh,30,0.2,1.4660388231277466,0.9106126427650452,1.2304188013076782,0.8127225637435913,1
linear,linear,15,0.5,1.4318944215774536,0.8891229629516602,1.231864333152771,0.8162404894828796,1
