,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
0,relu,relu,15,0.2,1.9176857471466064,1.0517818927764893,1.16049063205719,0.824563205242157,1
1,linear,relu,15,0.2,1.6915180683135986,0.9758642315864563,1.0745582580566406,0.7900922298431396,1
2,tanh,relu,15,0.2,2.0904297828674316,1.1354409456253052,1.2735893726348877,0.9008725881576538,1
3,relu,linear,15,0.2,1.7327563762664795,0.9954974055290222,1.008658766746521,0.759274959564209,1
4,linear,linear,15,0.2,1.7313073873519897,0.9931196570396423,0.9804491996765137,0.7574632167816162,1
5,tanh,linear,15,0.2,3.046888589859009,1.4586907625198364,2.216456174850464,1.257638931274414,1
6,relu,tanh,15,0.2,2.7333884239196777,1.355700969696045,1.7956594228744507,1.138329267501831,1
7,linear,tanh,15,0.2,1.8439667224884033,1.0385903120040894,1.0022093057632446,0.7845872044563293,1
8,tanh,tanh,15,0.2,1.7433674335479736,0.9904606342315674,1.0138955116271973,0.7719563245773315,1
9,relu,relu,15,0.5,3.234205961227417,1.4828442335128784,2.5741872787475586,1.340838074684143,1
10,linear,relu,15,0.5,3.308432102203369,1.521794080734253,2.403460741043091,1.32741379737854,1
11,tanh,relu,15,0.5,2.1542277336120605,1.1452288627624512,1.3864123821258545,0.9114598035812378,1
12,relu,linear,15,0.5,2.0669755935668945,1.0970886945724487,1.5841007232666016,1.00249445438385,1
13,linear,linear,15,0.5,2.996384620666504,1.422468900680542,2.311965227127075,1.27597975730896,1
14,tanh,linear,15,0.5,2.1589298248291016,1.1453185081481934,1.381258487701416,0.9042854309082031,1
15,relu,tanh,15,0.5,2.81600022315979,1.3163833618164062,2.208911895751953,1.1603814363479614,1
16,linear,tanh,15,0.5,2.568004608154297,1.2980722188949585,1.553674578666687,1.0393933057785034,1
17,tanh,tanh,15,0.5,2.2473084926605225,1.1801573038101196,1.4005568027496338,0.9399707317352295,1
18,relu,relu,30,0.2,2.0057082176208496,1.0911554098129272,1.218340516090393,0.834885835647583,1
19,linear,relu,30,0.2,1.7157628536224365,0.9757159352302551,1.0708296298980713,0.7642215490341187,1
20,tanh,relu,30,0.2,7.188592910766602,2.3922743797302246,6.853506565093994,2.3969788551330566,1
21,relu,linear,30,0.2,1.6689268350601196,0.9540152549743652,1.0228569507598877,0.7523639798164368,1
22,linear,linear,30,0.2,1.7111783027648926,0.9704403281211853,1.13728928565979,0.7875010371208191,1
23,tanh,linear,30,0.2,3.0024447441101074,1.3917490243911743,3.6294596195220947,1.668826937675476,1
24,relu,tanh,30,0.2,2.448399543762207,1.2491718530654907,1.5314642190933228,1.020491600036621,1
25,linear,tanh,30,0.2,1.8010990619659424,1.001090168952942,1.2496331930160522,0.8395203351974487,1
26,tanh,tanh,30,0.2,1.8095444440841675,1.0033928155899048,1.1383720636367798,0.7820308208465576,1
27,relu,relu,30,0.5,1.8242231607437134,1.0058246850967407,1.0738801956176758,0.7632614374160767,1
28,linear,relu,30,0.5,2.2695865631103516,1.1874849796295166,1.4038244485855103,0.9421613812446594,1
29,tanh,relu,30,0.5,2.3353426456451416,1.1645745038986206,1.8433033227920532,1.0588023662567139,1
30,relu,linear,30,0.5,1.82221257686615,1.0164244174957275,0.9897368550300598,0.7458999156951904,1
31,linear,linear,30,0.5,1.7209326028823853,0.9731719493865967,0.975112795829773,0.7236528396606445,1
32,tanh,linear,30,0.5,2.0887842178344727,1.0950965881347656,1.8413242101669312,1.0688600540161133,1
33,relu,tanh,30,0.5,1.9340482950210571,1.044489860534668,1.421645164489746,0.8987793922424316,1
34,linear,tanh,30,0.5,1.8806922435760498,1.0217390060424805,1.190285325050354,0.8078363537788391,1
35,tanh,tanh,30,0.5,2.6266627311706543,1.2939866781234741,1.714491605758667,1.052270770072937,1
36,relu,relu,15,0.2,17.380489349365234,3.8627569675445557,18.685213088989258,4.138498306274414,2
37,linear,relu,15,0.2,19.35988998413086,4.078958034515381,20.705541610717773,4.352856159210205,2
38,tanh,relu,15,0.2,16.461807250976562,3.7492787837982178,16.904926300048828,3.9085001945495605,2
39,relu,linear,15,0.2,21.123872756958008,4.270890235900879,22.855234146118164,4.573648452758789,2
40,linear,linear,15,0.2,16.065034866333008,3.690512180328369,17.208621978759766,3.954509735107422,2
41,tanh,linear,15,0.2,11.586346626281738,2.9990663528442383,11.707221031188965,3.115919589996338,2
42,relu,tanh,15,0.2,441.1288146972656,20.18807029724121,518.5986938476562,22.3101806640625,2
43,linear,tanh,15,0.2,18.19292449951172,3.9799001216888428,18.836715698242188,4.157540321350098,2
44,tanh,tanh,15,0.2,21.494531631469727,4.285687446594238,23.109590530395508,4.605026721954346,2
45,relu,relu,15,0.5,116.35531616210938,10.319952011108398,134.33383178710938,11.322717666625977,2
46,linear,relu,15,0.5,117.55693817138672,10.370930671691895,135.83688354492188,11.385144233703613,2
47,tanh,relu,15,0.5,115.16470336914062,10.241971015930176,133.43190002441406,11.27468490600586,2
48,relu,linear,15,0.5,108.49529266357422,9.948676109313965,125.57400512695312,10.937453269958496,2
49,linear,linear,15,0.5,115.39044189453125,10.262252807617188,133.08566284179688,11.254796981811523,2
50,tanh,linear,15,0.5,110.00237274169922,10.035552978515625,125.5845947265625,10.943138122558594,2
51,relu,tanh,15,0.5,107.85256958007812,9.937103271484375,124.07682800292969,10.89133358001709,2
52,linear,tanh,15,0.5,111.38005065917969,10.08625602722168,127.94065856933594,11.044756889343262,2
53,tanh,tanh,15,0.5,110.54576873779297,10.029861450195312,128.0419464111328,11.054532051086426,2
54,relu,relu,30,0.2,20.19571876525879,4.1930012702941895,20.690940856933594,4.369346618652344,2
55,linear,relu,30,0.2,20.087488174438477,4.163947105407715,21.332509994506836,4.423253059387207,2
