,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
54,relu,relu,30,0.2,15.629155158996582,3.3856985569000244,16.867685317993164,3.6880905628204346,2
55,linear,relu,30,0.2,10.099278450012207,2.7223639488220215,10.546957969665527,2.848935604095459,2
56,tanh,relu,30,0.2,10.983139991760254,2.7887189388275146,11.525378227233887,2.982759952545166,2
57,relu,linear,30,0.2,13.240741729736328,3.173896074295044,14.327991485595703,3.402742862701416,2
58,linear,linear,30,0.2,12.869743347167969,3.145094394683838,13.397049903869629,3.2888593673706055,2
59,tanh,linear,30,0.2,10.070643424987793,2.704421043395996,10.520183563232422,2.871157646179199,2
60,relu,tanh,30,0.2,12.233452796936035,2.9669668674468994,12.282096862792969,3.0709705352783203,2
61,linear,tanh,30,0.2,18.603452682495117,3.7829580307006836,20.57900047302246,4.146766185760498,2
62,tanh,tanh,30,0.2,14.707984924316406,3.2658748626708984,16.092100143432617,3.5655605792999268,2
63,relu,relu,30,0.5,68.78562927246094,7.41552209854126,74.81099700927734,8.087005615234375,2
64,linear,relu,30,0.5,64.7723159790039,7.148009300231934,69.78096771240234,7.7641706466674805,2
65,tanh,relu,30,0.5,80.4731216430664,7.966648101806641,88.7600326538086,8.7830810546875,2
66,relu,linear,30,0.5,66.79552459716797,7.271846294403076,70.50331115722656,7.813902854919434,2
67,linear,linear,30,0.5,65.82488250732422,7.151259422302246,72.15799713134766,7.8732452392578125,2
68,tanh,linear,30,0.5,69.73389434814453,7.3857221603393555,75.35430908203125,8.064689636230469,2
69,relu,tanh,30,0.5,69.89600372314453,7.460822105407715,75.73554992675781,8.120599746704102,2
70,linear,tanh,30,0.5,66.69342803955078,7.159526824951172,70.73902130126953,7.727644920349121,2
71,tanh,tanh,30,0.5,74.34779357910156,7.658633708953857,80.63885498046875,8.365974426269531,2
