,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
0,relu,relu,15,0.2,1.6881048679351807,0.9796295166015625,1.708446979522705,0.9979711174964905,1
1,linear,relu,15,0.2,1.8864127397537231,1.0697407722473145,1.852732539176941,1.0664846897125244,1
2,tanh,relu,15,0.2,1.7309867143630981,0.997779130935669,1.8139498233795166,1.043944001197815,1
3,relu,linear,15,0.2,1.9421522617340088,1.039876937866211,2.213534116744995,1.1545082330703735,1
4,linear,linear,15,0.2,1.7479805946350098,1.019741415977478,1.6867520809173584,0.9986339211463928,1
5,tanh,linear,15,0.2,1.775985836982727,1.002414345741272,1.7956151962280273,1.0276433229446411,1
6,relu,tanh,15,0.2,1.7846190929412842,1.021804690361023,1.7960931062698364,1.0568349361419678,1
7,linear,tanh,15,0.2,1.8706939220428467,1.0617457628250122,1.79546058177948,1.0558743476867676,1
8,tanh,tanh,15,0.2,1.804090142250061,1.0255459547042847,1.8728463649749756,1.0618542432785034,1
9,relu,relu,15,0.5,1.7833117246627808,1.0184906721115112,1.8050272464752197,1.0243486166000366,1
10,linear,relu,15,0.5,2.207115411758423,1.1871006488800049,2.0774102210998535,1.1591663360595703,1
11,tanh,relu,15,0.5,2.1038129329681396,1.1322726011276245,1.9505670070648193,1.1088379621505737,1
12,relu,linear,15,0.5,1.8591620922088623,1.0600898265838623,1.6986446380615234,1.015641689300537,1
13,linear,linear,15,0.5,1.863163948059082,1.0284699201583862,1.9251413345336914,1.0618302822113037,1
14,tanh,linear,15,0.5,1.9312427043914795,1.0708616971969604,1.8338959217071533,1.0704206228256226,1
15,relu,tanh,15,0.5,1.8108923435211182,1.023850440979004,1.7846745252609253,1.0354056358337402,1
16,linear,tanh,15,0.5,1.8369849920272827,1.0390729904174805,1.7426117658615112,1.0377289056777954,1
17,tanh,tanh,15,0.5,2.36899733543396,1.228737235069275,2.383495330810547,1.253585696220398,1
18,relu,relu,30,0.2,1.627919316291809,0.9522513747215271,1.805184245109558,1.0113697052001953,1
19,linear,relu,30,0.2,1.6994072198867798,0.9790313243865967,2.0590178966522217,1.0970978736877441,1
20,tanh,relu,30,0.2,6.6902756690979,2.214454412460327,7.614019870758057,2.4339749813079834,1
21,relu,linear,30,0.2,1.7822538614273071,1.0388823747634888,1.7806816101074219,1.0323364734649658,1
22,linear,linear,30,0.2,1.5755064487457275,0.9547954201698303,1.7575504779815674,1.0118682384490967,1
23,tanh,linear,30,0.2,1.7168580293655396,0.9941871762275696,1.7702181339263916,1.0146126747131348,1
24,relu,tanh,30,0.2,1.6448956727981567,0.9678266644477844,1.6855932474136353,1.0013591051101685,1
25,linear,tanh,30,0.2,1.6661039590835571,0.9898616671562195,1.7889333963394165,1.049673080444336,1
26,tanh,tanh,30,0.2,1.78933584690094,1.0282299518585205,1.8963476419448853,1.0724447965621948,1
27,relu,relu,30,0.5,1.7402042150497437,1.0049128532409668,1.7160391807556152,1.0031133890151978,1
28,linear,relu,30,0.5,2.0395843982696533,1.0752946138381958,2.4536068439483643,1.2260770797729492,1
29,tanh,relu,30,0.5,2.1313977241516113,1.1013710498809814,2.1723053455352783,1.1004687547683716,1
30,relu,linear,30,0.5,1.7385271787643433,1.005896806716919,1.8457143306732178,1.0481834411621094,1
31,linear,linear,30,0.5,1.862395167350769,1.0629812479019165,1.7646499872207642,1.0376449823379517,1
32,tanh,linear,30,0.5,3.1096630096435547,1.4326274394989014,2.949298143386841,1.4435840845108032,1
33,relu,tanh,30,0.5,1.9838122129440308,1.0781830549240112,1.8751845359802246,1.066065788269043,1
34,linear,tanh,30,0.5,1.8451032638549805,1.015913486480713,2.020576000213623,1.0872386693954468,1
35,tanh,tanh,30,0.5,3.023047924041748,1.409506916999817,3.410520076751709,1.5573782920837402,1
36,relu,relu,15,0.2,11.119455337524414,2.908628463745117,12.639802932739258,3.178215742111206,2
37,linear,relu,15,0.2,13.680377006530762,3.2364370822906494,15.498092651367188,3.542083501815796,2
38,tanh,relu,15,0.2,15.276664733886719,3.4213953018188477,18.09091567993164,3.8750410079956055,2
39,relu,linear,15,0.2,12.998520851135254,3.1434061527252197,14.621295928955078,3.421513557434082,2
40,linear,linear,15,0.2,13.795851707458496,3.2031772136688232,15.948835372924805,3.574476480484009,2
41,tanh,linear,15,0.2,12.236003875732422,3.0023787021636963,13.956032752990723,3.307408571243286,2
42,relu,tanh,15,0.2,11.946247100830078,2.9984726905822754,13.101765632629395,3.2294392585754395,2
43,linear,tanh,15,0.2,15.135144233703613,3.409503221511841,17.51649284362793,3.8077168464660645,2
44,tanh,tanh,15,0.2,16.21426010131836,3.5147488117218018,18.893482208251953,3.940215587615967,2
45,relu,relu,15,0.5,67.878662109375,7.3163251876831055,81.39737701416016,8.39784049987793,2
46,linear,relu,15,0.5,67.37094116210938,7.3023362159729,80.68501281738281,8.368247985839844,2
47,tanh,relu,15,0.5,66.1203842163086,7.192158222198486,79.29024505615234,8.263204574584961,2
48,relu,linear,15,0.5,71.98452758789062,7.559652328491211,86.71355438232422,8.695883750915527,2
49,linear,linear,15,0.5,64.1275405883789,7.123441696166992,76.60640716552734,8.151265144348145,2
50,tanh,linear,15,0.5,67.54156494140625,7.3138041496276855,81.43614196777344,8.422149658203125,2
51,relu,tanh,15,0.5,63.62812042236328,7.057378768920898,76.04705047607422,8.104619026184082,2
52,linear,tanh,15,0.5,66.82796478271484,7.2579345703125,79.88300323486328,8.324567794799805,2
53,tanh,tanh,15,0.5,68.21217346191406,7.256173610687256,81.17190551757812,8.296879768371582,2
