input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
tanh,tanh,30,0.2,1.512453317642212,0.9534342288970948,1.335111379623413,0.8851786255836487,1
linear,linear,15,0.2,1.3665916919708252,0.8909193277359009,1.3436810970306396,0.8388171195983887,1
relu,tanh,15,0.2,1.4229555130004885,0.9139497876167296,1.3644155263900757,0.8530256748199463,1
relu,tanh,30,0.5,1.5755395889282229,0.9596529006958008,1.370971441268921,0.8835877776145935,1
linear,relu,30,0.2,1.4047690629959106,0.9152610301971436,1.3901243209838867,0.896370530128479,1
