input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
tanh,linear,30,0.2,10.070643424987791,2.704421043395996,10.520183563232422,2.871157646179199,2
linear,relu,30,0.2,10.099278450012209,2.722363948822021,10.546957969665527,2.848935604095459,2
tanh,relu,30,0.2,10.983139991760254,2.788718938827514,11.525378227233888,2.982759952545166,2
relu,tanh,30,0.2,12.233452796936035,2.9669668674468994,12.282096862792969,3.0709705352783203,2
relu,relu,15,0.2,11.119455337524414,2.908628463745117,12.639802932739258,3.178215742111206,2
