input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
linear,linear,30,0.5,1.7209326028823853,0.9731719493865968,0.975112795829773,0.7236528396606445,1
linear,linear,15,0.2,1.7313073873519895,0.9931196570396424,0.9804491996765136,0.7574632167816162,1
relu,linear,30,0.5,1.82221257686615,1.0164244174957275,0.9897368550300598,0.7458999156951904,1
linear,tanh,15,0.2,1.8439667224884035,1.0385903120040894,1.0022093057632446,0.7845872044563293,1
relu,linear,15,0.2,1.7327563762664795,0.9954974055290222,1.008658766746521,0.759274959564209,1
