input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
tanh,relu,30,0.2,10.753589630126951,2.718012571334839,11.415046691894531,2.9097683429718018,2
tanh,tanh,30,0.2,10.901387214660645,2.88602614402771,11.436932563781738,3.043963670730591,2
relu,linear,30,0.2,12.342589378356934,3.0335886478424072,12.638023376464844,3.163858413696289,2
linear,linear,15,0.2,11.470983505249023,2.938120126724243,13.16720962524414,3.252595901489258,2
linear,tanh,30,0.2,12.507404327392578,2.9912261962890625,13.191179275512695,3.194157361984253,2
